date;week;weekday;value;target;category;place
29/03/12 00:00;1;4;23;Булочки;Питание;Россия
29/03/12 00:00;1;4;97,7;Столовая;Питание;Россия
29/03/12 00:00;1;4;157;Печенье;Питание;Россия
30/03/12 00:00;1;5;81;Столовая;Питание;Россия
30/03/12 00:00;1;5;2978,2;Велочехол, чехол для велоштанов;Досуг/Велосипед;Россия
30/03/12 00:00;1;5;380;Пиво, молоко, чипсы, воздушная пшеница, печенье;Питание;Россия
30/03/12 00:00;1;5;48;Йогурт, творог;Гигиена;Россия
01/04/12 00:00;1;7;700;;Связь/Интернет;Россия
02/04/12 00:00;2;1;94,2;Столовая;Питание;Россия
02/04/12 00:00;2;1;25;Булочка;Питание;Россия
02/04/12 00:00;2;1;274,61;ХЗ;Питание;Россия
03/04/12 00:00;2;2;112,6;Столовая;Питание;Россия
04/04/12 00:00;2;3;20;Булочки;Питание;Россия
04/04/12 00:00;2;3;84,4;Столовая;Питание;Россия
04/04/12 00:00;2;3;100;Яблоки;Питание;Россия
04/04/12 00:00;2;3;100;ЕТК;Транспорт;Россия
04/04/12 00:00;2;3;1500;Видеокарта Asus GTS250 512MB;Хозяйство/Техника;Россия
05/04/12 00:00;2;4;80;Столовая;Питание;Россия
06/04/12 00:00;2;5;76;Столовая;Питание;Россия
06/04/12 00:00;2;5;267,5;Стиральный порошок, ополаскиватель для рта, зубная паста;Гигиена;Россия
06/04/12 00:00;2;5;15;Зубная щетка;Гигиена;Россия
06/04/12 00:00;2;5;102;Фруктово-ореховая смесь;Питание;Россия
06/04/12 00:00;2;5;48;Бананы;Питание;Россия
06/04/12 00:00;2;5;27;Булочки;Питание;Россия
06/04/12 00:00;2;5;184,5;Шоколад, мороженое, молоко;Питание;Россия
07/04/12 00:00;2;6;208;Антрекот;Питание;Россия
07/04/12 00:00;2;6;53;Квас, орбит;Питание;Россия
07/04/12 00:00;2;6;354;Смывка для цепи;Досуг/Велосипед;Россия
09/04/12 00:00;3;1;83,6;Столовая;Питание;Россия
09/04/12 00:00;3;1;1700;Мафия и подарочный сертификат сестре;Благотворительность;Россия
09/04/12 00:00;3;1;35,8;Синий маркер;Канцелярия;Россия
09/04/12 00:00;3;1;115;Молоко, пряники, печенье;Питание;Россия
10/04/12 00:00;3;2;97,1;Столовая;Питание;Россия
10/04/12 00:00;3;2;270;Голубая краска для замши;Хозяйство/Расходники;Россия
10/04/12 00:00;3;2;2000;Алтай;Досуг/Велосипед;Россия
11/04/12 00:00;3;3;25;Булочки;Питание;Россия
11/04/12 00:00;3;3;51,9;ХЗ;Благотворительность;Россия
11/04/12 00:00;3;3;20;;Транспорт;Россия
11/04/12 00:00;3;3;90,6;Столовая;Питание;Россия
12/04/12 00:00;3;4;87,2;Столовая;Питание;Россия
12/04/12 00:00;3;4;10;Булочка;Питание;Россия
12/04/12 00:00;3;4;1100;Ремонт сноуборда;Досуг/Сноуборд;Россия
12/04/12 00:00;3;4;138,5;Печенье;Питание;Россия
12/04/12 00:00;3;4;500;;Связь/Телефон;Россия
13/04/12 00:00;3;5;89;Столовая;Питание;Россия
13/04/12 00:00;3;5;174,9;Фруктово-ореховая смесь;Питание;Россия
13/04/12 00:00;3;5;24;Булочки;Питание;Россия
13/04/12 00:00;3;5;48;Бананы;Питание;Россия
13/04/12 00:00;3;5;301,2;Шоколад, блины, воздушная пшеница, молоко;Питание;Россия
14/04/12 00:00;3;6;21;;Транспорт;Россия
14/04/12 00:00;3;6;100;Квас;Питание;Россия
20/04/12 00:00;4;5;3255,5;Хакасия;Досуг/Сноуборд;Россия
21/04/12 00:00;4;6;158;Бананы, яблоки;Питание;Россия
21/04/12 00:00;4;6;33;Молоко;Питание;Россия
23/04/12 00:00;5;1;61;Подсолнечное масло;Питание;Россия
23/04/12 00:00;5;1;90;Столовая + булочки;Питание;Россия
23/04/12 00:00;5;1;64,5;Пена для бритья;Гигиена;Россия
23/04/12 00:00;5;1;246;Туалетная бумага, кондиционер для белья, мыло;Гигиена;Россия
24/04/12 00:00;5;2;87,8;Столовая;Питание;Россия
24/04/12 00:00;5;2;22;Булочки;Питание;Россия
24/04/12 00:00;5;2;37,7;Квас;Питание;Россия
24/04/12 00:00;5;2;50;Автомойка;Досуг/Велосипед;Россия
25/04/12 00:00;5;3;20;Ромашка;Питание;Россия
25/04/12 00:00;5;3;115,7;Печенье, сосиски, сникерс;Питание;Россия
25/04/12 00:00;5;3;365;Сок, хлеб, кофе, чай;Питание;Россия
25/04/12 00:00;5;3;40;;Транспорт;Россия
25/04/12 00:00;5;3;1500;Утюг для парафина;Досуг/Сноуборд;Россия
25/04/12 00:00;5;3;150;Парафин;Досуг/Сноуборд;Россия
25/04/12 00:00;5;3;400;Консервация;Досуг/Сноуборд;Россия
25/04/12 00:00;5;3;160;Торт Бабушке;Благотворительность;Россия
26/04/12 00:00;5;4;38;;Транспорт;Россия
26/04/12 00:00;5;4;44,36;Силиконовые стрепы;Досуг/Инвентарь;Россия
27/04/12 00:00;5;5;190;Сидушка, средство от клещей;Досуг;Россия
