date;week;weekday;value;target;category;place
01/01/12 17:53;1;7;330;;кино;
03/01/12 12:02;2;2;300;Мобильный;мобильный;
05/01/12 13:16;2;4;1 450;Налоги;работа;
08/01/12 17:52;2;7;2 880;Favorite;рестораны;
10/01/12 00:24;3;2;200;Мобильный;мобильный;
10/01/12 18:50;3;2;660;Кино;кино;
13/01/12 14:42;3;5;500;Мобильный;мобильный;
13/01/12 15:21;3;5;470;Хлеб насущный;рестораны;
13/01/12 15:25;3;5;986,2;Билеты в Брянск;транспорт;
13/01/12 15:32;3;5;1 331,3;Билеты в Брянск;транспорт;
13/01/12 17:25;3;5;8 000;;наличные;
13/01/12 17:26;3;5;8 000;;наличные;
13/01/12 17:27;3;5;8 000;;наличные;
14/01/12 17:54;3;6;1 241,1;За свет;ЖКХ;
15/01/12 19:58;3;7;931;Азбука вкуса;супермаркеты;
15/01/12 20:24;3;7;248,44;;супермаркеты;
17/01/12 14:57;4;2;7 500;;наличные;
17/01/12 14:58;4;2;7 500;;наличные;
17/01/12 14:59;4;2;7 500;;наличные;
18/01/12 13:59;4;3;200;;рестораны;
18/01/12 21:02;4;3;840,5;Азбука вкуса;супермаркеты;
20/01/12 20:12;4;5;200;Мобильный;мобильный;
22/01/12 12:34;4;7;500;Хостинг;работа;
23/01/12 12:32;5;1;150;Мобильный;мобильный;
23/01/12 20:48;5;1;450;Интернет на Скаковой;ЖКХ;
27/01/12 16:50;5;5;230;Дом оранжевой коровы;рестораны;
28/01/12 00:00;5;6;344,77;;книги;
30/01/12 07:26;6;1;5 099,8;;наличные;бангкок
31/01/12 15:00;6;2;17 577,66;Билеты на Самуи;транспорт;бангкок
04/02/12 00:00;6;6;122,87;;работа;самуи
07/02/12 00:00;7;2;814,39;;работа;самуи
07/02/12 10:21;7;2;5 081,54;;наличные;самуи
09/02/12 00:00;7;4;364,45;;книги;самуи
12/02/12 08:42;7;7;5 138,91;;наличные;самуи
13/02/12 20:00;8;1;2 003,08;Спа;красота;самуи
13/02/12 14:00;8;1;4 371,5;Билеты в Чингмай;транспорт;самуи
13/02/12 21:37;8;1;14 490,74;Билет в Москву;транспорт;самуи
15/02/12 14:50;8;3;5 202,42;;наличные;самуи
17/02/12 23:18;8;5;14 177,98;Билеты в Штаты;транспорт;самуи
18/02/12 00:00;8;6;151,83;Гугл-почта;работа;самуи
20/02/12 22:58;9;1;5 109,39;;наличные;самуи
23/02/12 05:10;9;4;5 066,87;;наличные;самуи
28/02/12 00:00;10;2;266,7;;работа;самуи
29/02/12 13:48;10;3;10 051,39;;наличные;чингмай
03/03/12 08:29;10;6;500;Хостинг;работа;чингмай
04/03/12 21:26;10;7;5 091,09;;наличные;чингмай
09/03/12 18:26;11;5;5 104,65;;наличные;чингмай
11/03/12 09:29;11;7;310,2;Билеты в Брянск;транспорт;чингмай
11/03/12 09:30;11;7;1 307,9;Билеты в Брянск;транспорт;чингмай
16/03/12 20:48;12;5;16 712,56;;наличные;чингмай
17/03/12 09:05;12;6;3 081,11;;наличные;чингмай
18/03/12 08:00;12;7;1 676,92;Виски;алко;
18/03/12 08:00;12;7;1 711,2;Виски;алко;
19/03/12 18:16;13;1;5 000;;наличные;
19/03/12 19:56;13;1;520;;книги;
20/03/12 00:00;13;2;279,5;;книги;
21/03/12 00:00;13;3;118,75;;работа;
22/03/12 20:33;13;4;14 302,74;Билеты в Черногорию;транспорт;
29/03/12 00:00;14;4;896,14;;работа;
01/04/12 19:09;14;7;300;Мобильный;мобильный;
02/04/12 00:00;15;1;1 537,25;;работа;
05/04/12 19:42;15;4;100;Мобильный;мобильный;
09/04/12 00:00;16;1;29,88;;работа;
19/04/12 10:57;17;4;550;Телефон на Скаковой;ЖКХ;
21/04/12 15:31;17;6;9 114,18;;наличные;НЙ
22/04/12 00:00;17;7;1 202,48;;красота;НЙ
22/04/12 14:00;17;7;2 104,87;Сапоги;одежда;НЙ
23/04/12 16:00;18;1;1 133;;одежда;НЙ
23/04/12 17:00;18;1;3 268,08;Платье Gap;одежда;НЙ
23/04/12 04:32;18;1;2 691,14;Платья UNIQLO;одежда;НЙ
23/04/12 13:04;18;1;6 104,13;;наличные;НЙ
